,Unnamed: 0,accession,samples-count,bioproject,is-private,last-update,secondary-accession,centre-name,study-name,data-origination,doi
15,15,MGYS00006640,82,PRJEB65451,False,2024-03-26T18:04:09,ERP150574,EMG,EMG produced TPA metagenomics assembly of PRJNA678453 data set (Species-specific gene expression of the oral microbiota in health and diesease).,SUBMITTED,10.1093/nar/gkz1035
16,16,MGYS00006639,18,PRJEB56857,False,2024-03-26T11:32:52,ERP141819,EMG,EMG produced TPA metagenomics assembly of PRJNA741688 data set (saliva metagenomic analysis of Crohn`s disease-related periodontitis).,SUBMITTED,10.1093/nar/gkx967
17,17,MGYS00000596,31903,PRJEB11419,False,2024-03-17T16:41:43,ERP012803,UCSDMI,American Gut Project,SUBMITTED,10.1371/journal.pcbi.1009838
18,18,MGYS00006636,48,PRJEB65452,False,2024-03-15T20:36:54,ERP150575,EMG,EMG produced TPA metagenomics assembly of PRJNA932553 data set (Oral microbiome in periodontitis).,SUBMITTED,10.1093/nar/gkz1035
19,19,MGYS00006366,24,PRJEB56435,False,2024-03-15T15:48:23,ERP141374,EMG,EMG produced TPA metagenomics assembly of PRJNA548383 data set (Subgingival Microbiome of Tobacco Cigarette Smokers with and without Periodontal Disease).,SUBMITTED,10.1093/nar/gkx967
20,20,MGYS00006635,60,PRJEB66073,False,2024-03-15T15:28:50,ERP151145,EMG,EMG produced TPA metagenomics assembly of PRJNA752888 data set (Longitudinal saliva bacteriome and early childhood caries).,SUBMITTED,10.1093/nar/gkz1035
21,21,MGYS00006631,65,PRJEB65450,False,2024-03-11T21:40:37,ERP150573,EMG,EMG produced TPA metagenomics assembly of PRJEB54966 data set (Papua New Guinean oral metagenomes).,SUBMITTED,10.1093/nar/gkz1035
22,22,MGYS00006619,43,PRJEB56742,False,2024-03-09T00:47:09,ERP141706,EMG,EMG produced TPA metagenomics assembly of PRJNA757683 data set (Apical Periodontitis).,SUBMITTED,10.1093/nar/gkx967
23,23,MGYS00006615,60,PRJEB56889,False,2024-03-09T00:07:03,ERP141857,EMG,EMG produced TPA metagenomics assembly of PRJNA380727 data set (human saliva metagenome Raw sequence reads).,SUBMITTED,10.1093/nar/gkx967
24,24,MGYS00006614,60,PRJEB56856,False,2024-03-08T23:16:36,ERP141818,EMG,EMG produced TPA metagenomics assembly of PRJNA470402 data set (human saliva metagenome Raw reads).,SUBMITTED,10.1093/nar/gkx967
25,25,MGYS00006618,30,PRJEB56572,False,2024-03-08T23:12:05,ERP141522,EMG,EMG produced TPA metagenomics assembly of PRJNA791464 data set (Oral saliva microorganisms in 3-year-old children with different caries risk).,SUBMITTED,10.1093/nar/gkx967
26,26,MGYS00006617,10,PRJEB56901,False,2024-03-08T18:32:12,ERP141871,EMG,EMG produced TPA metagenomics assembly of PRJDB10606 data set (Shotgun metagenome sequencing of saliva microbiome of MRONJ patients using HiSeq).,SUBMITTED,10.1093/nar/gkx967
27,27,MGYS00006616,23,PRJEB57339,False,2024-03-08T16:46:36,ERP142304,EMG,EMG produced TPA metagenomics assembly of PRJNA762218 data set (Salivary Microbiome in Adenoid Cystic Carcinoma).,SUBMITTED,10.1093/nar/gkx967
28,28,MGYS00006574,85,PRJEB64259,False,2024-02-06T05:21:54,ERP149395,EMG,EMG produced TPA metagenomics assembly of PRJEB42572 data set (Dental plaque microbiomes from hunter-gatherer and subsistence farmer populations in Cameroon).,SUBMITTED,10.1093/nar/gkz1035
29,29,MGYS00001988,260,PRJEB22359,False,2024-02-05T22:42:07,ERP104038,EMBL-EBI,EMG produced TPA metagenomics assembly of the Gut microbial succession follows acute secretory diarrhea in humans (cholera_succession) data set,SUBMITTED,10.1128/mbio.00381-15
30,30,MGYS00005023,122,PRJEB27122,False,2024-02-02T22:19:45,ERP109164,EMG,EMG produced TPA metagenomics assembly of the The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition (123CD-metagenomics) data set.,SUBMITTED,10.1093/nar/gkx967
31,31,MGYS00002425,387,PRJEB24849,False,2024-02-02T21:05:36,ERP106708,EMBL-EBI,EMG produced TPA metagenomics assembly of the Metagenomic sequencing of preterm infant gut microbiota raw sequence reads () data set.,SUBMITTED,10.1093/nar/gkx967
32,32,MGYS00003468,396,PRJEB25962,False,2024-01-23T15:36:44,ERP107929,EMG,EMG produced TPA metagenomics assembly of the A method for identifying metagenomic species and variable genetic elements by exhaustive co-abundance binning () data set.,SUBMITTED,10.1093/nar/gkx967
33,33,MGYS00005234,502,PRJEB6705,False,2024-01-23T14:40:52,ERP006342,CCME-COLORADO,Goodrich_TwinsUK_Miseq_2,SUBMITTED,10.1038/s41598-021-87365-x
34,34,MGYS00006067,171,PRJEB53137,False,2024-01-22T15:08:55,ERP137915,EMG,EMG produced TPA metagenomics assembly of PRJEB29127 data set (A causal role of the gut microbiome in schizophrenia).,SUBMITTED,10.1093/nar/gkx967
35,35,MGYS00001188,120,PRJNA313391,False,2024-01-17T06:14:54,SRP070925,Qingdao Municipal Hospital,Gastric microbiota of 120 samples Raw sequence reads,HARVESTED,10.3389/fmicb.2020.01548
36,36,MGYS00003511,102,PRJEB26924,False,2024-01-17T01:24:56,ERP108955,EMG,EMG produced TPA metagenomics assembly of the Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease (CHD102-metagenomics) data set.,SUBMITTED,10.1093/nar/gkx967
37,37,MGYS00003619,764,PRJEB26925,False,2024-01-16T18:05:43,ERP108956,EMG,"EMG produced TPA metagenomics assembly of the A longitudinal analysis of the developing gut microbiome in infants from Finland, Estonia, and Russian Karelia (human gut metagenome) data set.",SUBMITTED,10.1093/nar/gkx967
38,38,MGYS00001189,408,PRJNA318004,False,2024-01-12T14:50:59,SRP073172,mothur,DNA from FIT can replace stool for microbiota-based colorectal,HARVESTED,10.3390/nu13072234
39,39,MGYS00001255,350,PRJNA307231,False,2024-01-12T14:01:54,SRP068240,IrsiCaixa Foundation,Human feces metagenome 16s rDNA sequencing,HARVESTED,10.3389/fcimb.2020.00434
40,40,MGYS00003575,123,PRJEB26165,False,2024-01-10T13:47:15,ERP108138,EMG,EMG produced TPA metagenomics assembly of the C.diff FMT (human gut metagenome) data set.,SUBMITTED,10.1093/nar/gkx967
41,41,MGYS00001075,1515,PRJEB5989,False,2024-01-09T22:38:22,ERP005437,CGS-GL,16S sequencing of Malawian children,SUBMITTED,10.1126/scitranslmed.aaa4877
42,42,MGYS00006553,82,PRJEB67980,False,2024-01-09T03:36:29,ERP152995,EMG,EMG produced TPA metagenomics assembly of PRJEB27928 data set (Meta-analysis of fecal metagenomes reveals global microbial signatures that are specific for colorectal cancer.).,SUBMITTED,10.1093/nar/gkz1035
43,43,MGYS00001278,820,PRJEB6518,False,2024-01-08T13:29:07,ERP006059,CCME-COLORADO,Host lifestyle affects human microbiota on daily timescales,SUBMITTED,10.1128/mbio.03281-20
44,44,MGYS00000580,75,PRJEB11846,False,2024-01-08T11:25:05,ERP013262,UNIVERSITY OF FLORENCE,Gut microbiota of Juvenile Idiopathic arthritis,SUBMITTED,10.3389/fmicb.2016.01703
45,45,MGYS00000501,233,PRJEB9365,False,2024-01-08T11:01:22,ERP010458,SMU,Gut microbiota of stroke patients differentiates from healthy controls,SUBMITTED,10.1038/s41598-019-46249-x
46,46,MGYS00001215,85,PRJNA306419,False,2024-01-08T09:40:05,SRP070699,Technical University of Denmark,Colonic transit time relates to bacterial metabolism and mucosal turnover in the gut,HARVESTED,
47,47,MGYS00001211,8,PRJNA326143,False,2024-01-05T09:30:27,SRP076746,Seoul National University,human gut metagenome Metagenome,HARVESTED,10.1186/s40101-016-0121-7
48,48,MGYS00006126,615,PRJNA542910,False,2024-01-04T11:49:22,SRP198412,Stanford University,Gut microbiota plasticity is correlated with sustained weight loss on a low-carb or low-fat dietary intervention,HARVESTED,
49,49,MGYS00006023,131,PRJNA787810,False,2024-01-04T11:43:42,SRP350207,Luxia Scientific,Observational Study on the Diagnostic Evaluation of the Intestinal Microbiota of Patients With COVID-19. (EDIFICE),HARVESTED,
50,50,MGYS00006121,42,PRJEB57228,False,2024-01-04T11:33:48,ERP142200,Quadram Institute Bioscience,Dietary intervention of people with Parkinson's disease,SUBMITTED,
51,51,MGYS00006226,67,PRJNA774891,False,2023-12-21T13:33:23,SRP343296,Technical Univeristy of Munich,Effects of Dietary Fiber Intervention on Gut Microbiota in Healthy People,HARVESTED,
52,52,MGYS00006225,115,PRJNA491813,False,2023-12-21T12:42:45,SRP165601,University of Vienna,Human intervention study: anthocyanins supplementation and the impacts on gut microbiota,HARVESTED,
53,53,MGYS00006224,100,PRJEB52848,False,2023-12-21T12:34:37,ERP137596,"WAGENINGEN UNIVERSITY, LABORATORY OF MICROBIOLOGY","The effect of nutritional intervention with lactoferrin, galactooligosacharides and vitamin D on the gut microbiota composition of healthy elderly women",SUBMITTED,
54,54,MGYS00006559,102,PRJNA752174,False,2023-12-21T11:28:40,SRP331280,"Institute of Microbiology, GuangdongAcademy of Sciences",Influence of gut microbiota on short-term low carbohydrate diet intervention for weight loss therapy,HARVESTED,
55,55,MGYS00005628,424,PRJEB6070,False,2023-10-09T15:24:44,ERP005534,EMBL - Germany,Potential of fecal microbiota for early stage detection of colorectal cancer,SUBMITTED,10.1371/journal.pcbi.1009838
56,56,MGYS00005360,184,PRJNA289586,False,2023-10-09T14:45:26,SRP072561,Luxembourg Centre for Systems Biomedicine,Human Gut Microbiome in a Multiplex Family Study of Type 1 Diabetes Mellitus,HARVESTED,10.3389/fped.2021.752250
57,57,MGYS00005253,606,PRJEB26618,False,2023-09-26T22:09:05,ERP108620,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",Early development of the airway microbiota in infants with cystic fibrosis,SUBMITTED,10.1136/bmjresp-2021-001106
58,58,MGYS00006431,24,PRJNA982880,False,2023-09-26T14:44:06,SRP442920,University of Alabama at Birmingham,The fungal intestinal microbiota predict the development of bronchopulmonary dysplasia,HARVESTED,
59,59,MGYS00006453,86,PRJNA811494,False,2023-09-06T12:44:03,SRP361980,Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoell Institute (HKI),ITS2 and whole metagenomics from stool of human lung cancer patients from hungary,HARVESTED,
60,60,MGYS00006419,75,PRJNA859507,False,2023-09-03T13:10:07,SRP386769,The Second Affiliated Hospital of Fujian University of Traditional Chinese Medicine,Dynamic changes of intestinal flora and metabolic function in patients with postoperative pneumonia after lung cancer surgery,HARVESTED,
61,61,MGYS00006399,149,PRJNA805069,False,2023-09-03T03:10:49,SRP359154,"Sheba Medical Center, Tel-Hashomer, Israel.",Gut microbial signature in lung cancer patients highlights specific taxa as predictors for durable clinical benefit,HARVESTED,
62,62,MGYS00006394,47,PRJNA782662,False,2023-09-03T01:59:37,SRP347299,University of Trieste,Intestinal Akkermansia muciniphila predicts clinical response to PD-1 blockade in advanced non-small cell lung cancer patients.,HARVESTED,
63,63,MGYS00006380,79,PRJNA736821,False,2023-09-02T22:46:00,SRP323777,Zhejiang Chinese Medical University,Study of gut microbial diversity in lung cancer,HARVESTED,
64,64,MGYS00006365,68,PRJEB56431,False,2023-09-02T10:50:52,ERP141370,EMG,EMG produced TPA metagenomics assembly of PRJNA552294 data set (Subgingival metagenome of aggressive periodontitis).,SUBMITTED,10.1093/nar/gkx967
65,65,MGYS00006354,30,PRJNA668745,False,2023-09-02T03:44:29,SRP287767,Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoll Institute,Gut microbiome is associated with exercise tolerance of resected early-stage lung cancer patients,HARVESTED,
66,66,MGYS00006353,37,PRJNA669372,False,2023-09-02T03:22:37,SRP287511,China Medical University,Gut and lung microbiota in RSV-infected mice and streptomycin-treatment mice,HARVESTED,
67,67,MGYS00006351,101,PRJNA665109,False,2023-09-02T02:51:50,SRP285044,MD Anderson Cancer Center,NEOSTAR Study: Non-small cell lung cancer treated with nivolumab or nivolumab plus ipilimumab,HARVESTED,
68,68,MGYS00006335,50,PRJNA586768,False,2023-09-01T21:01:35,SRP228286,Instituto Ramon y Cajal de Investigacion Sanitaria,Mycobiome characterization in Lung Cancer,HARVESTED,
69,69,MGYS00006333,26,PRJNA561567,False,2023-09-01T20:48:19,SRP219421,University of Arkansas for Medical Sciences,Stromal modulation through gastrointestinal microbial dysbiosis,HARVESTED,
70,70,MGYS00006320,392,PRJNA238324,False,2023-09-01T19:48:53,SRP039515,University of Colorado,Human airway Targeted Locus (Loci),HARVESTED,
71,71,MGYS00006286,91,PRJEB44169,False,2023-09-01T16:54:53,ERP128188,Korea Food Research Institute,Gut microbiome data of never-smoking subjects with lung adenocarcinoma,SUBMITTED,
72,72,MGYS00006307,22,PRJEB56428,False,2023-09-01T15:17:52,ERP141367,EMG,EMG produced TPA metagenomics assembly of PRJNA597465 data set (Species Level Characterization of Dental Plaque Associated Microbiome of Native Indian Children using Metagenome Sequencing).,SUBMITTED,10.1093/nar/gkx967
73,73,MGYS00006315,25,PRJEB56433,False,2023-09-01T13:25:52,ERP141372,EMG,EMG produced TPA metagenomics assembly of PRJNA508385 data set (Comparative metagenomics reveals taxonomically idiosyncratic yet functionally congruent communities in periodontitis).,SUBMITTED,10.1093/nar/gkx967
74,74,MGYS00006316,1,PRJEB56454,False,2023-09-01T13:08:40,ERP141402,EMG,EMG produced TPA metagenomics assembly of PRJEB10293 data set (Tongue metagenome from 9 healthy individuals.).,SUBMITTED,10.1093/nar/gkx967
75,75,MGYS00006314,1,PRJEB56303,False,2023-09-01T13:07:00,ERP141227,EMG,EMG produced TPA metagenomics assembly of PRJNA650272 data set (Microbiomes in supragingival biofilms and saliva of adolescent patients with provoked and naturally occurring gingivitis relative to gingival health).,SUBMITTED,10.1093/nar/gkx967
76,76,MGYS00006313,9,PRJEB53836,False,2023-09-01T12:45:46,ERP138652,EMG,EMG produced TPA metagenomics assembly of PRJNA528558 data set (oral metagenome Metagenome).,SUBMITTED,10.1093/nar/gkx967
77,77,MGYS00006306,3,PRJEB53834,False,2023-09-01T11:29:50,ERP138650,EMG,EMG produced TPA metagenomics assembly of PRJNA419274 data set (Alteration in the Oral microbiota of Indian Antartic expedition members during ship journey and stay at Antartica).,SUBMITTED,10.1093/nar/gkx967
78,78,MGYS00006280,84,PRJEB50377,False,2023-08-14T20:33:07,ERP134949,Centre de Recherche Cardio-Thoracique de Bordeaux,gut microbiota and ventilator-associated pneumonia,SUBMITTED,
79,79,MGYS00006292,70,PRJNA606061,False,2023-08-14T19:31:30,SRP248397,CRCHUM,Gut microbiome predicts efficacy and immune-related toxicities of advanced non-small cell lung cancer patients treated with anti-PD-1/PD-L1 Ab-based immunotherapy,HARVESTED,
80,80,MGYS00006282,256,PRJEB64264,False,2023-08-08T00:12:03,ERP149400,EMG,EMG produced TPA metagenomics assembly of PRJNA728374 data set (Gut microbiome responses to dietary intervention with hypocholesterolemic vegetable oils.).,SUBMITTED,10.1093/nar/gkz1035
81,81,MGYS00006283,20,PRJEB63102,False,2023-08-07T12:25:40,ERP148244,EMG,EMG produced TPA metagenomics assembly of PRJNA819247 data set (Infant gut microbiome Raw sequence reads).,SUBMITTED,10.1093/nar/gkz1035
82,82,MGYS00006276,90,PRJEB44168,False,2023-08-04T23:14:44,ERP128187,Korea Food Research Institute,Oral microbiome data of never-smoking subjects with lung adenocarcinoma,SUBMITTED,
83,83,MGYS00006267,102,PRJEB60915,False,2023-07-30T00:53:11,ERP145990,EMG,EMG produced TPA metagenomics assembly of PRJEB35524 data set (A low-digestibility protein supplementation during an energy-restricted diet reduces visceral fat and stimulates gut microbiota aminoacid metabolism in subjects with metabolic syndrome).,SUBMITTED,10.1093/nar/gkz1035
84,84,MGYS00006266,78,PRJEB60912,False,2023-07-29T15:38:45,ERP145987,EMG,EMG produced TPA metagenomics assembly of PRJEB17643 data set (A randomized trial of bread consumption: Personal glycemic responses and effects on clinical parameters and gut microbiome).,SUBMITTED,10.1093/nar/gkz1035
85,85,MGYS00006263,489,PRJEB28323,False,2023-07-29T14:53:07,ERP110514,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",The effect of RSV-A M37 infection on the respiratory microbiome of adults,SUBMITTED,
86,86,MGYS00005089,110,PRJEB33179,False,2023-07-21T03:12:42,ERP115949,EMG,EMG produced TPA metagenomics assembly of the PRJNA397112 data set (Indian Human Gut Microbiome).,SUBMITTED,10.1093/nar/gkx967
87,87,MGYS00006258,204,PRJNA907500,False,2023-07-20T23:58:22,SRP410968,Digbi Health,Longitudinal changes in gut microbiome are associated with BMI: insights from a digital therapeutics-based intervention,HARVESTED,
88,88,MGYS00006218,156,PRJNA600080,False,2023-07-20T11:31:16,SRP240962,University of Alberta,IBD and gut microbiome,HARVESTED,
89,89,MGYS00006215,134,PRJNA414683,False,2023-07-18T12:53:35,SRP120250,Massey University,Habitual dietary fibre intake and gut microbiota responsiveness,HARVESTED,
90,90,MGYS00006220,167,PRJNA781978,False,2023-07-18T11:40:31,SRP347452,Rush University,Microbiota Brain Axis in Alzheimers Disease MIND Diet Induced Effects,HARVESTED,
91,91,MGYS00006223,58,PRJNA633107,False,2023-07-18T11:40:03,SRP261866,Sanford Burnham Prebys Medical Discovery Institute,"Modulatory Effects of Triphala and Manjistha Dietary Supplementation on Human Gut Microbiota: A Double-Blind, Randomized, Placebo-Controlled Pilot Study",HARVESTED,
92,92,MGYS00006222,76,PRJEB35687,False,2023-07-18T11:38:12,ERP118779,Competence Center of Food and Fermentation Technologies,Gut microbiome alterations after high-fat low-carbohydrate weight reduction diet: pros and cons,SUBMITTED,
93,93,MGYS00000575,114,PRJEB11694,False,2023-07-18T11:25:17,ERP013102,Universita degli studi di Milano,Dietary intervention with a probiotic Bifidobacterium modulates dominant bacterial taxa in an enterotype-dependent fashion and normalizes butyrate levels in the gut of healthy adults,SUBMITTED,10.1128/aem.01753-16
94,94,MGYS00006122,283,PRJNA202975,False,2023-07-18T11:23:59,SRP023503,Shanghai Jiao Tong University,Gut microbiota after dietary intervention,HARVESTED,
95,95,MGYS00006245,27,PRJEB60911,False,2023-07-14T18:37:28,ERP145986,EMG,"EMG produced TPA metagenomics assembly of PRJNA340216 data set (Gut microbiota and metagenomic diversity of omnivore, vegetarian and vegan healthy subjects).",SUBMITTED,10.1093/nar/gkz1035
96,96,MGYS00006242,88,PRJNA810015,False,2023-06-23T13:23:30,SRP361296,Laval University,Dietary interventions rapidly affect gut microbiota diversity and function and the host lipid mediator response in a healthy population,HARVESTED,
97,97,MGYS00006217,428,PRJNA597342,False,2023-06-19T11:13:16,SRP299525,National Institute of Arthritis and Musculoskeletal and Skin Diseases,"Gut microbiome of infants at 3, 6, and 12 months of age, with different dietary interventions. Raw sequence reads",HARVESTED,
98,98,MGYS00006124,103,PRJEB35853,False,2023-06-19T10:53:28,ERP118975,NUS,Gut microbiome composition after spices intervention,SUBMITTED,
99,99,MGYS00006221,46,PRJEB39062,False,2023-06-12T20:56:20,ERP122530,University of Cagliari,Impact of a moderate caloric restriction on the gut microbiota composition and diversity of Italian obese patients,SUBMITTED,
100,100,MGYS00006219,50,PRJEB53018,False,2023-06-12T15:33:39,ERP137776,UNIVERSITY OF HELSINKI,Healthy Finnish controls,SUBMITTED,
101,101,MGYS00000526,30,PRJEB10296,False,2023-06-12T15:12:15,ERP011526,Universita degli studi di Milano,Modulation of dyslipidemic children fecal microbial ecosystem by dietary intervention with hazelnuts as source of unsaturated fatty acids.,SUBMITTED,
102,102,MGYS00006144,120,PRJEB56464,False,2023-04-20T19:34:05,ERP141414,EMG,"EMG produced TPA metagenomics assembly of PRJNA725899 data set (Metagenomic sequencing of wild rodent colon, cecum and faeces).",SUBMITTED,10.1093/nar/gkx967
103,103,MGYS00006125,93,PRJNA745281,False,2023-03-17T12:03:48,SRP327903,Genome and Stem Cell Center,Gut microbiome of IBS patients with personalized dietary intervention,HARVESTED,
104,104,MGYS00006120,176,PRJNA398089,False,2023-03-09T10:35:56,SRP115494,Harvard T.H. Chan School of Public Health,Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease,HARVESTED,10.1038/s41586-022-04648-7
105,105,MGYS00006119,200,PRJNA661289,False,2023-03-09T10:34:55,SRP279984,University of Bologna,MIMS Environmental/Metagenome sample from human gut metagenome,HARVESTED,
106,106,MGYS00006102,21,PRJEB55708,False,2023-03-04T05:57:18,ERP140636,EMG,EMG produced TPA metagenomics assembly of PRJEB44042 data set (Kefir ameliorates specific microbiota-gut-brain axis impairments in a mouse model relevant to autism spectrum disorder).,SUBMITTED,10.1093/nar/gkx967
107,107,MGYS00006004,20,PRJEB50343,False,2023-03-03T19:10:06,ERP134914,Latvian Biomedical Research and Study Centre,Research of extracellular vesicle content from gut microbiome and its’ role in cancer development by applying gut on chip system,SUBMITTED,
108,108,MGYS00006076,100,PRJEB55607,False,2022-11-17T12:07:38,ERP140519,Quadram Institute Bioscience,The effect of dietary bioactive on gut microbiome diversity (DIME) – a pilot study,SUBMITTED,
109,109,MGYS00006027,385,PRJEB52249,False,2022-07-25T09:42:18,ERP136943,EMG,EMG produced TPA metagenomics assembly of PRJNA530339 data set (Shotgun Metagenomics of 361 post-menopause women reveals gut microbiome change along with the bone loss).,SUBMITTED,10.1093/nar/gkx967
110,110,MGYS00005202,1185,PRJEB29239,False,2022-07-07T23:15:58,ERP111526,New horizon health technology Co. ltd,using fecal microbiota composition as a non-invasive diagnostic tool to classify colorectal carcinoma and adenoma.,SUBMITTED,
111,111,MGYS00006024,20,PRJNA630035,False,2022-06-06T13:48:52,SRP291976,"University of Rome ""Foro Italico""",Lifestyles and gut microbiome composition,HARVESTED,
112,112,MGYS00006017,53,PRJNA750902,False,2022-05-13T17:22:15,SRP330744,Humanitas Research Hospital,The salivary microbiome of COVID-19 inpatients and outpatients,HARVESTED,
113,113,MGYS00006016,106,PRJNA703303,False,2022-05-13T16:48:31,SRP307447,Zhejiang University,The gut microbiome 16s rDNA sequencing data of patients with COVID-19,HARVESTED,10.1136/gutjnl-2021-324090
114,114,MGYS00006013,212,PRJNA747262,False,2022-04-29T19:20:38,SRP328679,University Hospital Essen,Gut microbiome linked to SARS-CoV-2 infection and COVID-19 severity,HARVESTED,
115,115,MGYS00006012,45,PRJDB12349,False,2022-04-29T15:28:44,DRP008009,"Division of Infectious Diseases, Advanced Clinical Research Center, Institute of medical science, The University of Tokyo",microbiome analysis for patietns with COVID-19,HARVESTED,
116,116,MGYS00002020,38,PRJEB22391,False,2022-04-14T17:06:30,ERP104071,EMBL-EBI,EMG produced TPA metagenomics assembly of the Metagenome sequencing of the Hadza hunter-gatherer gut microbiota. (human gut metagenome) data set,SUBMITTED,10.1038/s41522-021-00248-x
117,117,MGYS00002012,24,PRJEB22498,False,2022-04-14T14:21:14,ERP104179,EMBL-EBI,"EMG produced TPA metagenomics assembly of the metagenome fecal microbiota, Ilumina seq reads of 12 individuals at 2 timepoints (EKmeta) data set",SUBMITTED,10.1128/msystems.00137-21
118,118,MGYS00006008,16,PRJEB51828,False,2022-04-11T09:21:25,ERP136476,EMG,EMG produced TPA metagenomics assembly of PRJEB3227 data set (Follow-up of faecal microbiota in IBS patients).,SUBMITTED,10.1093/nar/gkx967
119,119,MGYS00005805,35,PRJEB43961,False,2022-04-08T15:07:49,ERP127951,EMG,EMG produced TPA metagenomics assembly of PRJEB1690 data set (This is a metagenomic study to investigate the microbial community and metabolic functions of Korean twin pairs.).,SUBMITTED,10.1093/nar/gkx967
120,120,MGYS00006005,76,PRJNA795857,False,2022-03-24T11:37:01,SRP354185,Soonchunhyang University,Characterization of the faecal microbiome of osteoporotic patients in Koreans,HARVESTED,
121,121,MGYS00005176,750,PRJNA390646,False,2022-03-16T13:30:34,SRP109293,"Evolve Biosystems, Inc",Infant Microbiota and Probiotic Intake Study (IMPRINT),HARVESTED,10.1186/s13756-019-0583-6
122,122,MGYS00005236,486,PRJEB6702,False,2022-03-15T12:12:56,ERP006339,CCME-COLORADO,Human genetics shape the gut microbiome,SUBMITTED,10.1038/s41598-021-87365-x
123,123,MGYS00005979,1,PRJEB43247,False,2022-02-28T12:22:00,ERP127195,EMG,EMG produced TPA metagenomics assembly of PRJNA623799 data set (marine metagenome Genome sequencing and assembly).,SUBMITTED,10.1093/nar/gkx967
